Hours since 00:00 Jan 1,Lifetime Hourly Data: System power generated (kW)
720.5,-0.019089
721.5,-0.019089
722.5,-0.019089
723.5,-0.019089
724.5,-0.019089
725.5,-0.019089
726.5,-0.019089
727.5,-0.019089
728.5,0.589463
729.5,126.861
730.5,301.141
731.5,173.726
732.5,227.884
733.5,148.882
734.5,59.6888
735.5,63.2984
736.5,8.892
737.5,7.50929
738.5,-0.019089
739.5,-0.019089
740.5,-0.019089
741.5,-0.019089
742.5,-0.019089
743.5,-0.019089
744.5,-0.019089
745.5,-0.019089
746.5,-0.019089
747.5,-0.019089
748.5,-0.019089
749.5,-0.019089
750.5,-0.019089
751.5,-0.019089
752.5,222.381
753.5,671.233
754.5,1030.53
755.5,1248.09
756.5,1248.09
757.5,1248.09
758.5,1248.09
759.5,1063.7
760.5,724.533
761.5,271.108
762.5,-0.019089
763.5,-0.019089
764.5,-0.019089
765.5,-0.019089
766.5,-0.019089
767.5,-0.019089
768.5,-0.019089
769.5,-0.019089
770.5,-0.019089
771.5,-0.019089
772.5,-0.019089
773.5,-0.019089
774.5,-0.019089
775.5,-0.019089
776.5,235.49
777.5,689.562
778.5,1038.59
779.5,1025.18
780.5,1248.09
781.5,1248.09
782.5,1248.09
783.5,1049.74
784.5,712.691
785.5,264.315
786.5,-0.019089
787.5,-0.019089
788.5,-0.019089
789.5,-0.019089
790.5,-0.019089
791.5,-0.019089
792.5,-0.019089
793.5,-0.019089
794.5,-0.019089
795.5,-0.019089
796.5,-0.019089
797.5,-0.019089
798.5,-0.019089
799.5,-0.019089
800.5,255.405
801.5,695.788
802.5,1008.04
803.5,1207.73
804.5,1248.09
805.5,1248.09
806.5,992.892
807.5,810.578
808.5,370.079
809.5,260.827
810.5,-0.019089
811.5,-0.019089
812.5,-0.019089
813.5,-0.019089
814.5,-0.019089
815.5,-0.019089
816.5,-0.019089
817.5,-0.019089
818.5,-0.019089
819.5,-0.019089
820.5,-0.019089
821.5,-0.019089
822.5,-0.019089
823.5,-0.019089
824.5,262.722
825.5,701.162
826.5,1018.92
827.5,1234.26
828.5,1248.09
829.5,1248.09
830.5,1222.34
831.5,1013.51
832.5,702.191
833.5,280.101
834.5,-0.019089
835.5,-0.019089
836.5,-0.019089
837.5,-0.019089
838.5,-0.019089
839.5,-0.019089
840.5,-0.019089
841.5,-0.019089
842.5,-0.019089
843.5,-0.019089
844.5,-0.019089
845.5,-0.019089
846.5,-0.019089
847.5,-0.019089
848.5,247.062
849.5,346.49
850.5,703.265
851.5,863.75
852.5,964.207
853.5,907.344
854.5,828.235
855.5,482.928
856.5,327.294
857.5,68.2817
858.5,-0.019089
859.5,-0.019089
860.5,-0.019089
861.5,-0.019089
862.5,-0.019089
863.5,-0.019089
864.5,-0.019089
865.5,-0.019089
866.5,-0.019089
867.5,-0.019089
868.5,-0.019089
869.5,-0.019089
870.5,-0.019089
871.5,-0.019089
872.5,4.11387
873.5,197.539
874.5,372.557
875.5,170.413
876.5,241.391
877.5,113.301
878.5,376.092
879.5,257.627
880.5,51.2587
881.5,26.2492
882.5,-0.019089
883.5,-0.019089
884.5,-0.019089
885.5,-0.019089
886.5,-0.019089
887.5,-0.019089
888.5,-0.019089
889.5,-0.019089
890.5,-0.019089
891.5,-0.019089
892.5,-0.019089
893.5,-0.019089
894.5,-0.019089
895.5,-0.019089
896.5,275.295
897.5,696.81
898.5,1008.04
899.5,1215.18
900.5,1248.09
901.5,1248.09
902.5,1212.23
903.5,1011.47
904.5,709.881
905.5,295.501
906.5,-0.019089
907.5,-0.019089
908.5,-0.019089
909.5,-0.019089
910.5,-0.019089
911.5,-0.019089
912.5,-0.019089
913.5,-0.019089
914.5,-0.019089
915.5,-0.019089
916.5,-0.019089
917.5,-0.019089
918.5,-0.019089
919.5,-0.019089
920.5,258.874
921.5,115.881
922.5,377.422
923.5,325.067
924.5,343.808
925.5,336.76
926.5,255.686
927.5,261.469
928.5,65.2803
929.5,157.277
930.5,-0.019089
931.5,-0.019089
932.5,-0.019089
933.5,-0.019089
934.5,-0.019089
935.5,-0.019089
936.5,-0.019089
937.5,-0.019089
938.5,-0.019089
939.5,-0.019089
940.5,-0.019089
941.5,-0.019089
942.5,-0.019089
943.5,-0.019089
944.5,303.23
945.5,763.875
946.5,1103.59
947.5,1248.09
948.5,1248.09
949.5,1248.09
950.5,1248.09
951.5,1100.75
952.5,786.784
953.5,343.063
954.5,-0.019089
955.5,-0.019089
956.5,-0.019089
957.5,-0.019089
958.5,-0.019089
959.5,-0.019089
960.5,-0.019089
961.5,-0.019089
962.5,-0.019089
963.5,-0.019089
964.5,-0.019089
965.5,-0.019089
966.5,-0.019089
967.5,-0.019089
968.5,313.375
969.5,756.066
970.5,1060.92
971.5,1248.09
972.5,1248.09
973.5,1248.09
974.5,1248.09
975.5,1047.45
976.5,750.549
977.5,329.827
978.5,-0.019089
979.5,-0.019089
980.5,-0.019089
981.5,-0.019089
982.5,-0.019089
983.5,-0.019089
984.5,-0.019089
985.5,-0.019089
986.5,-0.019089
987.5,-0.019089
988.5,-0.019089
989.5,-0.019089
990.5,-0.019089
991.5,-0.019089
992.5,306.781
993.5,737.296
994.5,1023.06
995.5,1207.7
996.5,1248.09
997.5,1248.09
998.5,1198.34
999.5,1012.68
1000.5,731.6
1001.5,324.745
1002.5,-0.019089
1003.5,-0.019089
1004.5,-0.019089
1005.5,-0.019089
1006.5,-0.019089
1007.5,-0.019089
1008.5,-0.019089
1009.5,-0.019089
1010.5,-0.019089
1011.5,-0.019089
1012.5,-0.019089
1013.5,-0.019089
1014.5,-0.019089
1015.5,-0.019089
1016.5,301.595
1017.5,732.311
1018.5,1032.19
1019.5,1228.54
1020.5,456.304
1021.5,582.128
1022.5,1213.81
1023.5,374.252
1024.5,721.606
1025.5,320.723
1026.5,-0.019089
1027.5,-0.019089
1028.5,-0.019089
1029.5,-0.019089
1030.5,-0.019089
1031.5,-0.019089
1032.5,-0.019089
1033.5,-0.019089
1034.5,-0.019089
1035.5,-0.019089
1036.5,-0.019089
1037.5,-0.019089
1038.5,-0.019089
1039.5,-0.019089
1040.5,306.689
1041.5,729.014
1042.5,375.053
1043.5,653.1
1044.5,881.701
1045.5,1248.09
1046.5,1183.7
1047.5,988.749
1048.5,715.479
1049.5,322.436
1050.5,-0.019089
1051.5,-0.019089
1052.5,-0.019089
1053.5,-0.019089
1054.5,-0.019089
1055.5,-0.019089
1056.5,-0.019089
1057.5,-0.019089
1058.5,-0.019089
1059.5,-0.019089
1060.5,-0.019089
1061.5,-0.019089
1062.5,-0.019089
1063.5,-0.019089
1064.5,138.318
1065.5,529.721
1066.5,599.297
1067.5,616.007
1068.5,879.735
1069.5,1057.54
1070.5,484.648
1071.5,279.841
1072.5,346.205
1073.5,309.96
1074.5,-0.019089
1075.5,-0.019089
1076.5,-0.019089
1077.5,-0.019089
1078.5,-0.019089
1079.5,-0.019089
1080.5,-0.019089
1081.5,-0.019089
1082.5,-0.019089
1083.5,-0.019089
1084.5,-0.019089
1085.5,-0.019089
1086.5,-0.019089
1087.5,-0.019089
1088.5,305.027
1089.5,705.336
1090.5,980.584
1091.5,1159.22
1092.5,1246.17
1093.5,1231.11
1094.5,1130.22
1095.5,942.349
1096.5,683.579
1097.5,314.073
1098.5,-0.019089
1099.5,-0.019089
1100.5,-0.019089
1101.5,-0.019089
1102.5,-0.019089
1103.5,-0.019089
1104.5,-0.019089
1105.5,-0.019089
1106.5,-0.019089
1107.5,-0.019089
1108.5,-0.019089
1109.5,-0.019089
1110.5,-0.019089
1111.5,-0.019089
1112.5,300.473
1113.5,688.034
1114.5,951.937
1115.5,1133.33
1116.5,1222.24
1117.5,1219.13
1118.5,1125.61
1119.5,942.933
1120.5,678.984
1121.5,312.494
1122.5,-0.019089
1123.5,-0.019089
1124.5,-0.019089
1125.5,-0.019089
1126.5,-0.019089
1127.5,-0.019089
1128.5,-0.019089
1129.5,-0.019089
1130.5,-0.019089
1131.5,-0.019089
1132.5,-0.019089
1133.5,-0.019089
1134.5,-0.019089
1135.5,-0.019089
1136.5,292.306
1137.5,667.448
1138.5,938.871
1139.5,1127.67
1140.5,1222.41
1141.5,1221.93
1142.5,1129.04
1143.5,760.646
1144.5,682.516
1145.5,315.426
1146.5,-0.019089
1147.5,-0.019089
1148.5,-0.019089
1149.5,-0.019089
1150.5,-0.019089
1151.5,-0.019089
1152.5,-0.019089
1153.5,-0.019089
1154.5,-0.019089
1155.5,-0.019089
1156.5,-0.019089
1157.5,-0.019089
1158.5,-0.019089
1159.5,-0.019089
1160.5,306.755
1161.5,694.324
1162.5,961.295
1163.5,1136.71
1164.5,1216.02
1165.5,1209.49
1166.5,1118.83
1167.5,941.662
1168.5,638.091
1169.5,242.538
1170.5,-0.019089
1171.5,-0.019089
1172.5,-0.019089
1173.5,-0.019089
1174.5,-0.019089
1175.5,-0.019089
1176.5,-0.019089
1177.5,-0.019089
1178.5,-0.019089
1179.5,-0.019089
1180.5,-0.019089
1181.5,-0.019089
1182.5,-0.019089
1183.5,-0.019089
1184.5,300.152
1185.5,672.082
1186.5,902.875
1187.5,941.57
1188.5,1173.41
1189.5,1187.3
1190.5,1103.33
1191.5,929.203
1192.5,656.391
1193.5,167.173
1194.5,-0.019089
1195.5,-0.019089
1196.5,-0.019089
1197.5,-0.019089
1198.5,-0.019089
1199.5,-0.019089
1200.5,-0.019089
1201.5,-0.019089
1202.5,-0.019089
1203.5,-0.019089
1204.5,-0.019089
1205.5,-0.019089
1206.5,-0.019089
1207.5,-0.019089
1208.5,227.908
1209.5,531.561
1210.5,833.329
1211.5,1012.4
1212.5,946.86
1213.5,1248.09
1214.5,1146.32
1215.5,957.321
1216.5,681.002
1217.5,312.465
1218.5,-0.019089
1219.5,-0.019089
1220.5,-0.019089
1221.5,-0.019089
1222.5,-0.019089
1223.5,-0.019089
1224.5,-0.019089
1225.5,-0.019089
1226.5,-0.019089
1227.5,-0.019089
1228.5,-0.019089
1229.5,-0.019089
1230.5,-0.019089
1231.5,-0.019089
1232.5,112.957
1233.5,544.288
1234.5,795.97
1235.5,1078.34
1236.5,1248.09
1237.5,1248.09
1238.5,1159.29
1239.5,965.414
1240.5,594.472
1241.5,271.731
1242.5,-0.019089
1243.5,-0.019089
1244.5,-0.019089
1245.5,-0.019089
1246.5,-0.019089
1247.5,-0.019089
1248.5,-0.019089
1249.5,-0.019089
1250.5,-0.019089
1251.5,-0.019089
1252.5,-0.019089
1253.5,-0.019089
1254.5,-0.019089
1255.5,-0.019089
1256.5,337.576
1257.5,733.462
1258.5,757.976
1259.5,355.764
1260.5,351.143
1261.5,774.778
1262.5,1174.89
1263.5,979.727
1264.5,708.544
1265.5,332.711
1266.5,-0.019089
1267.5,-0.019089
1268.5,-0.019089
1269.5,-0.019089
1270.5,-0.019089
1271.5,-0.019089
1272.5,-0.019089
1273.5,-0.019089
1274.5,-0.019089
1275.5,-0.019089
1276.5,-0.019089
1277.5,-0.019089
1278.5,-0.019089
1279.5,-0.019089
1280.5,346.14
1281.5,738.62
1282.5,1010.99
1283.5,1196.87
1284.5,1248.09
1285.5,1248.09
1286.5,1186.78
1287.5,1003.3
1288.5,728.579
1289.5,357.098
1290.5,-0.019089
1291.5,-0.019089
1292.5,-0.019089
1293.5,-0.019089
1294.5,-0.019089
1295.5,-0.019089
1296.5,-0.019089
1297.5,-0.019089
1298.5,-0.019089
1299.5,-0.019089
1300.5,-0.019089
1301.5,-0.019089
1302.5,-0.019089
1303.5,-0.019089
1304.5,240.85
1305.5,733.967
1306.5,1016.42
1307.5,1214.06
1308.5,1248.09
1309.5,1248.09
1310.5,1199.13
1311.5,1009.08
1312.5,732.943
1313.5,354.054
1314.5,-0.019089
1315.5,-0.019089
1316.5,-0.019089
1317.5,-0.019089
1318.5,-0.019089
1319.5,-0.019089
1320.5,-0.019089
1321.5,-0.019089
1322.5,-0.019089
1323.5,-0.019089
1324.5,-0.019089
1325.5,-0.019089
1326.5,-0.019089
1327.5,-0.019089
1328.5,40.6922
1329.5,94.7899
1330.5,278.499
1331.5,1217.03
1332.5,1248.09
1333.5,1248.09
1334.5,1216.41
1335.5,748.309
1336.5,734.333
1337.5,356.358
1338.5,10.5657
1339.5,-0.019089
1340.5,-0.019089
1341.5,-0.019089
1342.5,-0.019089
1343.5,-0.019089
1344.5,-0.019089
1345.5,-0.019089
1346.5,-0.019089
1347.5,-0.019089
1348.5,-0.019089
1349.5,-0.019089
1350.5,-0.019089
1351.5,-0.019089
1352.5,255.796
1353.5,769.293
1354.5,694.08
1355.5,1047.19
1356.5,1152.21
1357.5,1110.84
1358.5,681.037
1359.5,682.263
1360.5,246.874
1361.5,145.929
1362.5,4.66281
1363.5,-0.019089
1364.5,-0.019089
1365.5,-0.019089
1366.5,-0.019089
1367.5,-0.019089
1368.5,-0.019089
1369.5,-0.019089
1370.5,-0.019089
1371.5,-0.019089
1372.5,-0.019089
1373.5,-0.019089
1374.5,-0.019089
1375.5,10.6741
1376.5,352.231
1377.5,740.534
1378.5,1015.55
1379.5,1207.62
1380.5,1248.09
1381.5,1248.09
1382.5,1198.02
1383.5,712.226
1384.5,743.31
1385.5,370.824
1386.5,19.6676
1387.5,-0.019089
1388.5,-0.019089
1389.5,-0.019089
1390.5,-0.019089
1391.5,-0.019089
1392.5,-0.019089
1393.5,-0.019089
1394.5,-0.019089
1395.5,-0.019089
1396.5,-0.019089
1397.5,-0.019089
1398.5,-0.019089
1399.5,16.6766
1400.5,376.917
1401.5,775.231
1402.5,1042.46
1403.5,1199.22
1404.5,1248.09
1405.5,1248.09
1406.5,1208.69
1407.5,1023.14
1408.5,750.481
1409.5,380.342
1410.5,22.2563
1411.5,-0.019089
1412.5,-0.019089
1413.5,-0.019089
1414.5,-0.019089
1415.5,-0.019089
1416.5,-0.019089
1417.5,-0.019089
1418.5,-0.019089
1419.5,-0.019089
1420.5,-0.019089
1421.5,-0.019089
1422.5,-0.019089
1423.5,22.4481
1424.5,397.625
1425.5,783.382
1426.5,1056.06
1427.5,1230.81
1428.5,1248.09
1429.5,1248.09
1430.5,1201.19
1431.5,1016.74
1432.5,742.517
1433.5,372.364
1434.5,18.2125
1435.5,-0.019089
