Hours since 00:00 Jan 1,Hourly Data: System power generated (kW)
1275.5,147.611
1276.5,404.933
1277.5,520.272
1278.5,0
1279.5,0
1280.5,0
1281.5,32.3365
1282.5,0
1283.5,0
1284.5,0
1285.5,0
1286.5,44.8243
1287.5,71.6601
1288.5,402.826
1289.5,221.957
1290.5,256.1
1291.5,518.024
1292.5,614.481
1293.5,536.184
1294.5,525.336
1295.5,650.109
1296.5,315.884
1297.5,202.845
1298.5,694.016
1299.5,400.771
1300.5,573.306
1301.5,626.864
1302.5,564.804
1303.5,569.455
1304.5,435.751
1305.5,226.257
1306.5,144.414
1307.5,66.8636
1308.5,0
1309.5,0
1310.5,0
1311.5,0
1312.5,229.468
1313.5,1228.12
1314.5,1240.18
1315.5,1251.67
1316.5,1228.19
1317.5,1235.52
1318.5,1251.05
1319.5,1250.17
1320.5,1215.55
1321.5,1251.67
1322.5,1235.8
1323.5,1225.27
1324.5,1251.67
1325.5,1251.67
1326.5,1251.67
1327.5,1251.67
1328.5,1251.67
1329.5,1251.67
1330.5,1251.67
1331.5,1251.67
1332.5,1251.67
1333.5,1251.67
1334.5,1251.67
1335.5,1251.67
1336.5,1251.67
1337.5,1251.67
1338.5,1179.93
1339.5,1120.11
1340.5,1166.14
1341.5,1084.77
1342.5,1087.99
1343.5,1190.31
1344.5,1096.23
1345.5,996.684
1346.5,980.608
1347.5,794.181
1348.5,707.167
1349.5,578.49
1350.5,534.326
1351.5,528.649
1352.5,415.366
1353.5,223.68
1354.5,0
1355.5,0
1356.5,0
1357.5,0
1358.5,0
1359.5,0
1360.5,0
1361.5,0
1362.5,0
1363.5,79.653
1364.5,64.171
1365.5,71.4067
1366.5,134.871
1367.5,103.346
1368.5,276.047
1369.5,126.282
1370.5,584.684
1371.5,407.3
1372.5,1188.59
1373.5,1230.53
1374.5,1160.14
1375.5,1222.89
1376.5,1143.35
1377.5,1073.69
1378.5,917.907
1379.5,1079.85
1380.5,850.512
1381.5,674.915
1382.5,515.996
1383.5,509.755
1384.5,419.031
1385.5,317.748
1386.5,565.523
1387.5,494.688
1388.5,375.192
1389.5,229.712
1390.5,326.921
1391.5,345.807
1392.5,215.011
1393.5,239.34
1394.5,61.6842
1395.5,0
1396.5,52.0542
1397.5,112.085
1398.5,159.791
1399.5,200.771
1400.5,266.047
1401.5,241.172
1402.5,139.731
1403.5,67.1186
1404.5,0
1405.5,0
1406.5,0
1407.5,0
1408.5,85.9071
1409.5,75.244
1410.5,128.552
1411.5,289.576
1412.5,52.0035
1413.5,0
1414.5,0
1415.5,0
1416.5,0
1417.5,0
1418.5,0
1419.5,17.8479
1420.5,70.3897
1421.5,167.454
1422.5,236.606
1423.5,240.359
1424.5,173.81
1425.5,125.717
1426.5,238.858
1427.5,148.55
1428.5,287.39
1429.5,861.366
1430.5,636.124
1431.5,464.135
1432.5,415.129
1433.5,250.332
1434.5,795.47
1435.5,195.816
1436.5,130.769
1437.5,235.085
1438.5,267.11
1439.5,270.748
1440.5,351.062
1441.5,0
1442.5,0
1443.5,0.816154
1444.5,53.9223
1445.5,64.5824
1446.5,103.97
1447.5,165.006
1448.5,194.463
1449.5,162.524
1450.5,220.424
1451.5,385.643
1452.5,306.136
1453.5,199.103
1454.5,185.308
1455.5,177.681
1456.5,115.148
1457.5,79.2034
1458.5,61.5692
1459.5,51.5606
1460.5,148.186
1461.5,257.772
1462.5,195.251
1463.5,348.054
1464.5,335.293
1465.5,498.493
1466.5,527.832
1467.5,531.249
1468.5,654.441
1469.5,609.562
1470.5,570.268
1471.5,606.383
1472.5,957.184
1473.5,438.893
1474.5,299.35
1475.5,306.596
1476.5,767.142
1477.5,963.804
1478.5,1198.05
1479.5,1156.89
1480.5,1188.08
1481.5,1066.45
1482.5,384.54
1483.5,370.868
1484.5,1239.6
1485.5,1150.97
1486.5,1197.46
1487.5,972.103
1488.5,400.29
1489.5,1142.69
1490.5,1198.27
1491.5,647.158
1492.5,823.381
1493.5,1075.31
1494.5,878.749
1495.5,807.327
1496.5,1009.58
1497.5,506.207
1498.5,793.797
1499.5,1184.46
1500.5,971.585
1501.5,963.471
1502.5,558.27
1503.5,455.719
1504.5,286.391
1505.5,735.361
1506.5,580.964
1507.5,243.915
1508.5,487.88
1509.5,976.672
1510.5,1251.67
1511.5,1251.67
1512.5,1233.95
1513.5,1251.67
